content,device,like,rcount,ctime,avatar,level,sex,sign,uname,mid,oid,diag
感谢鹏鹏[打call][打call][打call],,1,1,,https://i1.hdslb.com/bfs/face/b4f13500c348dd1c13d68adde5af33a3d32a2b43.jpg,5,保密,已退游,四宮_かぐや,357743170,236465733,原评论
没事为了你们还是出吧，实在不行再发一遍,,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
芙芙这角色我感觉玩多人几乎是另一种玩法，给我一种MMO里辅助/奶的玩法，得经常切黑白状态保住队伍输出与生存[笑哭],,2,0,,https://i1.hdslb.com/bfs/face/2d01e931cebf6e4c713fed981ba5d42c50e1e167.jpg,6,保密,,han-so-lo,229858,236465733,原评论
辛苦了我的脑婆[星星眼],,2,1,,https://i0.hdslb.com/bfs/face/ee625be8f6e065b193c208006d7c5fd524709997.jpg,6,男,保持周更，有词私我谢谢喵,Berkelium-,388424421,236465733,原评论
没事脑公[2233娘_大哭],,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
啊，太长了。。。能分p就好了,,1,1,,https://i0.hdslb.com/bfs/face/a52bcacff0efa2b818173b0fef465e82b7bf1fed.jpg,6,男,,B站林木奚,11600247,236465733,原评论
没事可以慢慢看,,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
"白芙在深渊里还是有用的
比如卢芙万班打桩boss时候可以一开始切白芙避免三小只内鬼水导致万叶染水后扩不了火",,2,0,,https://i2.hdslb.com/bfs/face/7dc7cdcdddfd91e3d9b92e36569add2d99118431.jpg,6,男,ⓘ粉丝群:717731517,Li_Hii,147986606,236465733,原评论
我省流呢[doge],,1,1,,https://i2.hdslb.com/bfs/face/89a11f811bd85c237f4bf40909f8d4e4e55c1a0c.jpg,6,保密,为什么这么困,困困_zzZ,44593004,236465733,原评论
40min怎么省流！[2233娘_困惑],,0,0,,https://i1.hdslb.com/bfs/face/465103e3684e4105f1507e0433b8796120d7028b.jpg,6,女,"B站最牛看号UP不满意包退！
细节决定成败！一位非常细的全能UP！
没有弱的角色，只有弱的旅行者！
粉丝群看视频简介！",鹏鹏不是朋朋_,273991792,236465733,原评论
